Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Recent immigrants by selected places of birth,    China,59,23195,NA,10230,,12965,,23195,NA,10230,,12965,
Recent immigrants by selected places of birth,    Hong Kong,60,640,NA,275,,360,,640,NA,275,,360,
Recent immigrants by selected places of birth,    India,NA,20095,NA,10555,,9540,,20095,NA,10555,,9540,
Recent immigrants by selected places of birth,    Iran,61,10930,NA,5325,,5610,,10930,NA,5325,,5610,
Recent immigrants by selected places of birth,    Iraq,NA,3715,NA,1795,,1920,,3715,NA,1795,,1920,
Recent immigrants by selected places of birth,    Israel,NA,585,NA,295,,285,,585,NA,295,,285,
Recent immigrants by selected places of birth,    Japan,NA,740,NA,195,,540,,740,NA,195,,540,
Recent immigrants by selected places of birth,    Korea; South,62,2925,NA,1315,,1610,,2925,NA,1315,,1610,
Recent immigrants by selected places of birth,    Lebanon,NA,615,NA,350,,260,,615,NA,350,,260,
Recent immigrants by selected places of birth,    Nepal,NA,1575,NA,825,,750,,1575,NA,825,,750,
Recent immigrants by selected places of birth,    Pakistan,NA,6725,NA,3285,,3440,,6725,NA,3285,,3440,
Recent immigrants by selected places of birth,    Philippines,NA,31730,NA,13360,,18370,,31730,NA,13360,,18370,
Recent immigrants by selected places of birth,    Saudi Arabia,NA,865,NA,435,,425,,865,NA,435,,425,
Recent immigrants by selected places of birth,    Sri Lanka,NA,4355,NA,1825,,2530,,4355,NA,1825,,2530,
Recent immigrants by selected places of birth,    Syria,63,3260,NA,1735,,1525,,3260,NA,1735,,1525,
Recent immigrants by selected places of birth,    Taiwan,NA,325,NA,100,,220,,325,NA,100,,220,
Recent immigrants by selected places of birth,    Turkey,NA,1675,NA,920,,755,,1675,NA,920,,755,
Recent immigrants by selected places of birth,    United Arab Emirates,NA,940,NA,480,,455,,940,NA,480,,455,
Recent immigrants by selected places of birth,    Viet Nam,NA,1380,NA,500,,875,,1380,NA,500,,875,
Recent immigrants by selected places of birth,    Other places of birth in Asia,NA,4460,NA,2085,,2380,,4460,NA,2085,,2380,
Recent immigrants by selected places of birth,  Oceania and other,64,850,NA,530,,320,,850,NA,530,,320,
Recent immigrants by selected places of birth,    Australia,NA,665,NA,425,,240,,665,NA,425,,240,
Recent immigrants by selected places of birth,    Other places of birth,67,185,NA,105,,80,,185,NA,105,,80,
Generation status,Total - Generation status for the population in private households - 25% sample data,68,2691665,NA,1296270,,1395395,,2691665,NA,1296270,,1395395,
Generation status,  First generation,69,1377465,NA,640055,,737410,,1377465,NA,640055,,737410,
Generation status,  Second generation,70,740180,NA,371440,,368740,,740180,NA,371440,,368740,
Generation status,  Third generation or more,71,574020,NA,284775,,289250,,574020,NA,284775,,289250,
Admission category and applicant type,Total - Admission category and applicant type for the immigrant population in private households who landed between 1980 and 2016 - 25% sample data,72,988325,NA,458395,,529925,,988325,NA,458395,,529925,
Admission category and applicant type,  Economic immigrants,73,475155,NA,227400,,247755,,475155,NA,227400,,247755,
Admission category and applicant type,    Principal applicants,74,201860,NA,111560,,90305,,201860,NA,111560,,90305,
Admission category and applicant type,    Secondary applicants,75,273290,NA,115835,,157450,,273290,NA,115835,,157450,
Admission category and applicant type,  Immigrants sponsored by family,76,320940,NA,131355,,189590,,320940,NA,131355,,189590,
Admission category and applicant type,  Refugees,77,176120,NA,92535,,83590,,176120,NA,92535,,83590,
Admission category and applicant type,  Other immigrants,78,16100,NA,7110,,8990,,16100,NA,7110,,8990,
Aboriginal population,Total - Aboriginal identity for the population in private households - 25% sample data,79,2691665,NA,1296270,,1395395,,2691665,NA,1296270,,1395395,
Aboriginal population,  Aboriginal identity,80,23065,NA,10835,,12235,,23065,NA,10835,,12235,
Aboriginal population,    Single Aboriginal responses,81,21925,NA,10215,,11710,,21925,NA,10215,,11710,
Aboriginal population,      First Nations (North American Indian),82,14380,NA,6695,,7685,,14380,NA,6695,,7685,
Aboriginal population,      Métis,NA,7270,NA,3385,,3880,,7270,NA,3385,,3880,
Aboriginal population,      Inuk (Inuit),NA,275,NA,130,,150,,275,NA,130,,150,
Aboriginal population,    Multiple Aboriginal responses,83,500,NA,260,,235,,500,NA,260,,235,
Aboriginal population,    Aboriginal responses not included elsewhere,84,645,NA,355,,285,,645,NA,355,,285,
Aboriginal population,  Non-Aboriginal identity,NA,2668600,NA,1285440,,1383165,,2668600,NA,1285440,,1383165,
Aboriginal population,Total - Population by Registered or Treaty Indian status for the population in private households - 25% sample data,85,2691665,NA,1296270,,1395395,,2691665,NA,1296270,,1395395,
Aboriginal population,  Registered or Treaty Indian,86,7965,NA,3655,,4305,,7965,NA,3655,,4305,
Aboriginal population,  Not a Registered or Treaty Indian,NA,2683700,NA,1292610,,1391090,,2683700,NA,1292610,,1391090,
Aboriginal population,Total - Aboriginal ancestry for the population in private households - 25% sample data,87,2691665,NA,1296270,,1395395,,2691665,NA,1296270,,1395395,
Aboriginal population,  Aboriginal ancestry (only),88,4215,NA,1900,,2320,,4215,NA,1900,,2320,
Aboriginal population,    Single Aboriginal ancestry (only),89,4125,NA,1855,,2270,,4125,NA,1855,,2270,
Aboriginal population,      First Nations (North American Indian) single ancestry,82,3330,NA,1455,,1875,,3330,NA,1455,,1875,
Aboriginal population,      Métis single ancestry,NA,705,NA,370,,335,,705,NA,370,,335,
Aboriginal population,      Inuit single ancestry,NA,90,NA,35,,60,,90,NA,35,,60,
Aboriginal population,    Multiple Aboriginal ancestries (only),90,90,NA,40,,50,,90,NA,40,,50,
Aboriginal population,      First Nations (North American Indian) and Métis ancestries,NA,65,NA,30,,40,,65,NA,30,,40,
Aboriginal population,      First Nations (North American Indian) and Inuit ancestries,NA,0,NA,0,,0,,0,NA,0,,0,
Aboriginal population,      Métis and Inuit ancestries,NA,0,NA,0,,0,,0,NA,0,,0,
Aboriginal population,      First Nations (North American Indian); Métis and Inuit ancestries,NA,15,NA,10,,10,,15,NA,10,,10,
Aboriginal population,  Aboriginal and non-Aboriginal ancestries,91,31410,NA,14655,,16765,,31410,NA,14655,,16765,
Aboriginal population,    Single Aboriginal and non-Aboriginal ancestries,92,30560,NA,14295,,16265,,30560,NA,14295,,16265,
Aboriginal population,      First Nations (North American Indian) and non-Aboriginal ancestries,NA,23355,NA,11000,,12355,,23355,NA,11000,,12355,
Aboriginal population,      Métis and non-Aboriginal ancestries,NA,6885,NA,3145,,3745,,6885,NA,3145,,3745,
Aboriginal population,      Inuit and non-Aboriginal ancestries,NA,320,NA,150,,165,,320,NA,150,,165,
Aboriginal population,    Multiple Aboriginal and non-Aboriginal ancestries,93,850,NA,355,,500,,850,NA,355,,500,
Aboriginal population,      First Nations (North American Indian); Métis and non-Aboriginal ancestries,NA,770,NA,310,,460,,770,NA,310,,460,
Aboriginal population,      First Nations (North American Indian); Inuit and non-Aboriginal ancestries,NA,60,NA,35,,30,,60,NA,35,,30,
Aboriginal population,      Métis; Inuit and non-Aboriginal ancestries,NA,20,NA,15,,10,,20,NA,15,,10,
Aboriginal population,      First Nations (North American Indian); Métis; Inuit and non-Aboriginal ancestries,NA,0,NA,0,,0,,0,NA,0,,0,
Aboriginal population,  Non-Aboriginal ancestry (only),94,2656040,NA,1279720,,1376315,,2656040,NA,1279720,,1376315,
Visible minority population,Total - Visible minority for the population in private households - 25% sample data,95,2691665,NA,1296270,,1395390,,2691665,NA,1296270,,1395390,
Visible minority population,  Total visible minority population,96,1385850,NA,656795,,729060,,1385850,NA,656795,,729060,
Visible minority population,    South Asian,97,338965,NA,171480,,167480,,338965,NA,171480,,167480,
Visible minority population,    Chinese,NA,299460,NA,140725,,158735,,299460,NA,140725,,158735,
Visible minority population,    Black,NA,239850,NA,109870,,129980,,239850,NA,109870,,129980,
Visible minority population,    Filipino,NA,152715,NA,64130,,88585,,152715,NA,64130,,88585,
Visible minority population,    Latin American,NA,77160,NA,37295,,39865,,77160,NA,37295,,39865,
Visible minority population,    Arab,NA,36030,NA,18920,,17105,,36030,NA,18920,,17105,
Visible minority population,    Southeast Asian,98,41645,NA,19375,,22270,,41645,NA,19375,,22270,
Visible minority population,    West Asian,99,60325,NA,30515,,29805,,60325,NA,30515,,29805,
Visible minority population,    Korean,NA,41640,NA,19665,,21975,,41640,NA,19665,,21975,
Visible minority population,    Japanese,NA,13410,NA,5505,,7905,,13410,NA,5505,,7905,
Visible minority population,    Visible minority; n.i.e.,100,36975,NA,16945,,20035,,36975,NA,16945,,20035,
Visible minority population,    Multiple visible minorities,101,47675,NA,22360,,25310,,47675,NA,22360,,25310,
Visible minority population,  Not a visible minority,102,1305815,NA,639475,,666340,,1305815,NA,639475,,666340,
Ethnic origin population,Total - Ethnic origin for the population in private households - 25% sample data,103,2691665,NA,1296270,,1395395,,2691665,NA,1296270,,1395395,
Ethnic origin population,  North American Aboriginal origins,NA,35630,NA,16550,,19080,,35630,NA,16550,,19080,
Ethnic origin population,    First Nations (North American Indian),NA,27610,NA,12840,,14770,,27610,NA,12840,,14770,
Ethnic origin population,    Inuit,NA,515,NA,245,,270,,515,NA,245,,270,
Ethnic origin population,    Métis,NA,8460,NA,3875,,4590,,8460,NA,3875,,4590,
Ethnic origin population,  Other North American origins,NA,345705,NA,170640,,175065,,345705,NA,170640,,175065,
Ethnic origin population,    Acadian,NA,2315,NA,1190,,1130,,2315,NA,1190,,1130,
Ethnic origin population,    American,NA,27475,NA,13455,,14015,,27475,NA,13455,,14015,
Ethnic origin population,    Canadian,NA,323180,NA,159435,,163740,,323180,NA,159435,,163740,
Ethnic origin population,    New Brunswicker,NA,45,NA,30,,20,,45,NA,30,,20,
Ethnic origin population,    Newfoundlander,NA,1430,NA,695,,730,,1430,NA,695,,730,
Ethnic origin population,    Nova Scotian,NA,335,NA,150,,180,,335,NA,150,,180,
Ethnic origin population,    Ontarian,NA,375,NA,230,,150,,375,NA,230,,150,
Ethnic origin population,    Québécois,NA,880,NA,440,,440,,880,NA,440,,440,
Ethnic origin population,    Other North American origins; n.i.e.,104,150,NA,75,,75,,150,NA,75,,75,
Ethnic origin population,  European origins,NA,1288855,NA,624910,,663945,,1288855,NA,624910,,663945,
Ethnic origin population,    British Isles origins,NA,597295,NA,292595,,304700,,597295,NA,292595,,304700,
Ethnic origin population,      Channel Islander,NA,180,NA,95,,80,,180,NA,95,,80,
Ethnic origin population,      Cornish,NA,150,NA,75,,75,,150,NA,75,,75,
Ethnic origin population,      English,NA,331895,NA,162525,,169370,,331895,NA,162525,,169370,
Ethnic origin population,      Irish,NA,262965,NA,125325,,137635,,262965,NA,125325,,137635,
Ethnic origin population,      Manx,NA,435,NA,260,,175,,435,NA,260,,175,
Ethnic origin population,      Scottish,NA,256255,NA,124590,,131665,,256255,NA,124590,,131665,
Ethnic origin population,      Welsh,NA,28210,NA,13425,,14780,,28210,NA,13425,,14780,
Ethnic origin population,      British Isles origins; n.i.e.,105,52905,NA,25635,,27270,,52905,NA,25635,,27270,
Ethnic origin population,    French origins,NA,122870,NA,58265,,64605,,122870,NA,58265,,64605,
Ethnic origin population,      Alsatian,NA,260,NA,95,,165,,260,NA,95,,165,
Ethnic origin population,      Breton,NA,40,NA,35,,10,,40,NA,35,,10,
Ethnic origin population,      Corsican,NA,35,NA,15,,20,,35,NA,15,,20,
Ethnic origin population,      French,NA,122610,NA,58150,,64460,,122610,NA,58150,,64460,
Ethnic origin population,    Western European origins (except French origins),NA,187190,NA,90670,,96520,,187190,NA,90670,,96520,
Ethnic origin population,      Austrian,NA,16145,NA,7660,,8490,,16145,NA,7660,,8490,
Ethnic origin population,      Bavarian,NA,85,NA,35,,45,,85,NA,35,,45,
Ethnic origin population,      Belgian,NA,4895,NA,2220,,2670,,4895,NA,2220,,2670,
Ethnic origin population,      Dutch,NA,41650,NA,19880,,21765,,41650,NA,19880,,21765,
Ethnic origin population,      Flemish,NA,460,NA,220,,245,,460,NA,220,,245,
Ethnic origin population,      Frisian,NA,230,NA,135,,95,,230,NA,135,,95,
Ethnic origin population,      German,NA,130895,NA,63815,,67080,,130895,NA,63815,,67080,
Ethnic origin population,      Luxembourger,NA,130,NA,65,,65,,130,NA,65,,65,
Ethnic origin population,      Swiss,NA,7630,NA,3770,,3860,,7630,NA,3770,,3860,
Ethnic origin population,      Western European origins; n.i.e.,106,340,NA,145,,195,,340,NA,145,,195,
Ethnic origin population,    Northern European origins (except British Isles origins),NA,36720,NA,17695,,19025,,36720,NA,17695,,19025,
Ethnic origin population,      Danish,NA,7575,NA,3715,,3860,,7575,NA,3715,,3860,
Ethnic origin population,      Finnish,NA,8160,NA,3795,,4365,,8160,NA,3795,,4365,
Ethnic origin population,      Icelandic,NA,2305,NA,1115,,1190,,2305,NA,1115,,1190,
Ethnic origin population,      Norwegian,NA,9180,NA,4565,,4610,,9180,NA,4565,,4610,
Ethnic origin population,      Swedish,NA,10400,NA,4780,,5620,,10400,NA,4780,,5620,
Ethnic origin population,      Northern European origins; n.i.e.,107,1950,NA,895,,1060,,1950,NA,895,,1060,
Ethnic origin population,    Eastern European origins,NA,302480,NA,141850,,160630,,302480,NA,141850,,160630,
Ethnic origin population,      Bulgarian,NA,6495,NA,3090,,3405,,6495,NA,3090,,3405,
Ethnic origin population,      Byelorussian,NA,4080,NA,2040,,2045,,4080,NA,2040,,2045,
Ethnic origin population,      Czech,NA,9500,NA,4555,,4950,,9500,NA,4555,,4950,
Ethnic origin population,      Czechoslovakian; n.o.s.,108,2315,NA,1040,,1280,,2315,NA,1040,,1280,
Ethnic origin population,      Estonian,NA,4620,NA,2165,,2455,,4620,NA,2165,,2455,
Ethnic origin population,      Hungarian,NA,33700,NA,16350,,17355,,33700,NA,16350,,17355,
Ethnic origin population,      Latvian,NA,5710,NA,2640,,3070,,5710,NA,2640,,3070,
Ethnic origin population,      Lithuanian,NA,11675,NA,5400,,6270,,11675,NA,5400,,6270,
Ethnic origin population,      Moldovan,NA,1265,NA,620,,650,,1265,NA,620,,650,
Ethnic origin population,      Polish,NA,114530,NA,53655,,60880,,114530,NA,53655,,60880,
Ethnic origin population,      Romanian,NA,26255,NA,12225,,14025,,26255,NA,12225,,14025,
Ethnic origin population,      Russian,NA,74465,NA,34135,,40330,,74465,NA,34135,,40330,
Ethnic origin population,      Slovak,NA,7615,NA,3680,,3940,,7615,NA,3680,,3940,
Ethnic origin population,      Ukrainian,NA,72345,NA,34015,,38330,,72345,NA,34015,,38330,
Ethnic origin population,      Eastern European origins; n.i.e.,109,5210,NA,2415,,2795,,5210,NA,2415,,2795,
Ethnic origin population,    Southern European origins,NA,441480,NA,215805,,225675,,441480,NA,215805,,225675,
Ethnic origin population,      Albanian,NA,11120,NA,5570,,5555,,11120,NA,5570,,5555,
Ethnic origin population,      Bosnian,NA,2965,NA,1425,,1540,,2965,NA,1425,,1540,
Ethnic origin population,      Catalan,NA,120,NA,80,,40,,120,NA,80,,40,
Ethnic origin population,      Croatian,NA,13675,NA,6690,,6985,,13675,NA,6690,,6985,
Ethnic origin population,      Cypriot,NA,1470,NA,740,,725,,1470,NA,740,,725,
Ethnic origin population,      Greek,NA,57420,NA,28600,,28820,,57420,NA,28600,,28820,
Ethnic origin population,      Italian,NA,182495,NA,89805,,92690,,182495,NA,89805,,92690,
Ethnic origin population,      Kosovar,NA,270,NA,145,,125,,270,NA,145,,125,
Ethnic origin population,      Macedonian,NA,13320,NA,6585,,6735,,13320,NA,6585,,6735,
Ethnic origin population,      Maltese,NA,6765,NA,3365,,3405,,6765,NA,3365,,3405,
Ethnic origin population,      Montenegrin,NA,935,NA,405,,525,,935,NA,405,,525,
Ethnic origin population,      Portuguese,NA,100415,NA,48725,,51695,,100415,NA,48725,,51695,
Ethnic origin population,      Serbian,NA,19375,NA,9710,,9670,,19375,NA,9710,,9670,
Ethnic origin population,      Sicilian,NA,680,NA,335,,345,,680,NA,335,,345,
Ethnic origin population,      Slovenian,NA,5475,NA,2680,,2790,,5475,NA,2680,,2790,
Ethnic origin population,      Spanish,NA,56815,NA,26600,,30215,,56815,NA,26600,,30215,
Ethnic origin population,      Yugoslavian; n.o.s.,110,3310,NA,1580,,1730,,3310,NA,1580,,1730,
Ethnic origin population,      Southern European origins; n.i.e.,111,260,NA,115,,150,,260,NA,115,,150,
Ethnic origin population,    Other European origins,NA,42130,NA,20955,,21175,,42130,NA,20955,,21175,
Ethnic origin population,      Basque,NA,505,NA,230,,275,,505,NA,230,,275,
Ethnic origin population,      Jewish,NA,34270,NA,17145,,17130,,34270,NA,17145,,17130,
Ethnic origin population,      Roma (Gypsy),NA,900,NA,425,,480,,900,NA,425,,480,
Ethnic origin population,      Slavic; n.o.s.,112,495,NA,260,,235,,495,NA,260,,235,
Ethnic origin population,      Other European origins; n.i.e.,113,6320,NA,3075,,3245,,6320,NA,3075,,3245,
Ethnic origin population,  Caribbean origins,NA,165735,NA,73670,,92060,,165735,NA,73670,,92060,
Ethnic origin population,    Antiguan,NA,1320,NA,535,,785,,1320,NA,535,,785,
Ethnic origin population,    Bahamian,NA,620,NA,330,,285,,620,NA,330,,285,
Ethnic origin population,    Barbadian,NA,9015,NA,4035,,4980,,9015,NA,4035,,4980,
Ethnic origin population,    Bermudan,NA,650,NA,295,,350,,650,NA,295,,350,
Ethnic origin population,    Carib,NA,995,NA,335,,660,,995,NA,335,,660,
Ethnic origin population,    Cuban,NA,5340,NA,2445,,2895,,5340,NA,2445,,2895,
Ethnic origin population,    Dominican,NA,3580,NA,1725,,1850,,3580,NA,1725,,1850,
Ethnic origin population,    Grenadian,NA,7370,NA,3005,,4365,,7370,NA,3005,,4365,
Ethnic origin population,    Guadeloupean,NA,0,NA,0,,0,,0,NA,0,,0,
Ethnic origin population,    Haitian,NA,3440,NA,1585,,1855,,3440,NA,1585,,1855,
